County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Oregon(6),41000,***,52.6,51.7,53.5,N/A ,37,41,2751,falling,-4.5,-6.7,-2.2
US (SEER+NPCR)(1),0,***,57.3,57.1,57.4,N/A , N/A , N/A,222811,falling,-2.6,-3.4,-1.8
Columbia County(6),41009,***,68.9,60.4,78.3,1,1,13,50,stable,-1.2,-3.3,1
Coos County(6),41011,***,67.4,60.7,74.8,2,1,12,79,falling,-1.8,-3.1,-0.5
Clatsop County(6),41007,***,66.9,57.6,77.4,3,1,18,40,stable,0.1,-1.8,2
Wasco County(6),41065,***,64.2,53,77.3,4,1,24,25,stable,-1.8,-4.4,0.8
Josephine County(6),41033,***,62.7,57.1,68.9,5,1,17,98,falling,-2,-3.2,-0.8
Crook County(6),41013,***,61.6,51,74.4,6,1,24,25,stable,11.6,-2.2,27.4
Marion County(6),41047,***,59.5,56,63.1,7,3,17,234,falling,-1,-2,-0.1
Linn County(6),41043,***,59.1,53.9,64.7,8,2,21,98,falling,-2.1,-3.3,-0.9
Douglas County(6),41019,***,58.2,53.3,63.4,9,3,21,114,falling,-2.2,-3.6,-0.7
Jefferson County(6),41031,***,57.5,46.2,71.1,10,1,28,19,stable,0.4,-1.8,2.7
Klamath County(6),41035,***,57.4,50.8,64.7,11,2,24,58,stable,-1.4,-2.9,0
Yamhill County(6),41071,***,57.4,51.6,63.7,12,3,23,74,stable,-1.6,-3.3,0.2
Jackson County(6),41029,***,56.4,52.8,60.3,13,5,22,191,falling,-1.7,-2.4,-1.1
Tillamook County(6),41057,***,56,46.5,67.3,14,1,27,26,stable,-1.7,-3.8,0.3
Curry County(6),41015,***,55.2,46,66.6,15,2,28,29,falling,-3.4,-4.8,-1.9
Multnomah County(6),41051,***,55.1,52.7,57.5,16,9,22,439,falling,-2.8,-3.3,-2.3
Lincoln County(6),41041,***,55,48.1,62.9,17,3,26,51,falling,-2.5,-3.7,-1.3
Polk County(6),41053,***,54.4,48.2,61.2,18,4,25,58,stable,-1.1,-2.4,0.2
Lake County(6),41037,***,54,38.3,76,19,1,32,8,stable,-2.4,-5.2,0.6
Umatilla County(6),41059,***,53,46.5,60.3,20,5,27,48,stable,-1.3,-3.1,0.6
Clackamas County(6),41005,***,51.7,48.9,54.6,21,13,25,274,falling,-2,-2.9,-1.2
Lane County(6),41039,***,48.6,45.8,51.5,22,18,27,244,falling,-3.3,-4,-2.7
Baker County(6),41001,***,47.1,35.5,61.9,23,3,32,13,stable,-0.8,-4.2,2.7
Morrow County(6),41049,***,45.5,31,64.9,24,2,33,7,falling,-4.2,-8.1,-0.1
Hood River County(6),41027,***,44,33.1,57.4,25,5,32,12,falling,-3.6,-6.4,-0.7
Union County(6),41061,***,44,34.8,55.2,26,10,32,17,stable,-1.9,-4.2,0.4
Washington County(6),41067,***,43.8,41.4,46.3,27,22,29,254,falling,-2,-2.6,-1.3
Harney County(6),41025,***,42.5,28.2,63.8,28,3,33,6,stable,-1.8,-7,3.8
Deschutes County(6),41017,***,39.7,36.2,43.5,29,24,31,99,falling,-3.7,-4.8,-2.6
Malheur County(6),41045,***,39.2,30.7,49.6,30,17,33,15,falling,-2.9,-4.6,-1.2
Benton County(6),41003,***,33.7,28.8,39.3,31,27,33,35,falling,-8.1,-13.1,-2.8
Grant County(6),41023,***,28.5,18,46.5,32,24,33,5,falling,-5.1,-9.3,-0.7
Wallowa County(6),41063,***,25.6,15.3,44,33,25,33,4,stable,-4,-9.2,1.4
Gilliam County(6),41021,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Sherman County(6),41055,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wheeler County(6),41069,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Washington(5),53000,***,52.7,52,53.4,N/A ,37,41,4444,falling,-3.4,-4.6,-2.2
US (SEER+NPCR)(1),0,***,57.3,57.1,57.4,N/A , N/A , N/A,222811,falling,-2.6,-3.4,-1.8
Mason County(7),53045,***,75,67.4,83.3,1,1,6,77,falling,-2,-2.8,-1.2
Grays Harbor County(7),53027,***,66.9,60.1,74.4,2,1,14,75,falling,-4.4,-5.9,-2.8
Pierce County(7),53053,***,66.8,64.4,69.2,3,1,8,612,falling,-3.1,-4.3,-1.9
Clallam County(7),53009,***,62.4,56.5,68.9,4,1,17,91,stable,-0.5,-1.1,0
Columbia County(6),53013,***,62.3,38.6,99.6,5,1,37,5,stable,-2,-6.1,2.2
Cowlitz County(6),53015,***,61.8,56.1,67.9,6,2,19,92,falling,-2.1,-3.4,-0.8
Pacific County(6),53049,***,61.7,51.3,74.4,7,1,27,28,stable,-1.7,-3.7,0.2
Skagit County(7),53057,***,60.7,55.6,66.1,8,2,19,111,falling,-0.9,-1.4,-0.4
Okanogan County(6),53047,***,59.5,51.1,69,9,1,26,39,stable,0.1,-2.1,2.5
Snohomish County(7),53061,***,58.2,55.8,60.6,10,5,17,477,falling,-1.2,-1.5,-0.9
Skamania County(6),53059,***,58.2,42.4,78.7,11,1,35,10,stable,0.2,-4.1,4.6
Kitsap County(7),53035,***,56.3,52.6,60.1,12,6,23,187,falling,-1.6,-2,-1.3
Thurston County(7),53067,***,56,52.4,59.8,13,6,23,193,falling,-2.1,-2.6,-1.7
Grant County(6),53025,***,55.8,49.3,62.9,14,3,28,56,stable,-1.9,-3.9,0
Klickitat County(6),53039,***,55.5,44.7,68.5,15,1,33,20,stable,3.5,-0.3,7.5
Pend Oreille County(6),53051,***,54.9,41.3,72.6,16,1,35,13,falling,-3.9,-6.5,-1.1
Lewis County(6),53041,***,54.3,48.4,60.8,17,5,29,64,falling,-3.1,-4.8,-1.3
Douglas County(6),53017,***,54.1,45.6,63.9,18,3,32,29,stable,-0.6,-2.7,1.5
Whatcom County(7),53073,***,54,50.1,58.3,19,8,26,144,falling,-0.6,-0.9,-0.2
Clark County(6),53011,***,53,50.1,55.9,20,10,26,278,falling,-9.2,-15.3,-2.7
Spokane County(6),53063,***,51.9,49.2,54.6,21,12,27,312,falling,-10,-17,-2.4
Chelan County(6),53007,***,51.7,45.5,58.5,22,7,31,53,stable,-0.7,-2.2,0.7
Yakima County(6),53077,***,49.8,45.9,53.8,23,13,31,128,falling,-2.4,-3.4,-1.4
Island County(7),53029,***,49.2,43.9,55.1,24,11,33,67,falling,-1.8,-2.4,-1.2
Benton County(6),53005,***,47,42.9,51.4,25,17,33,101,falling,-2.9,-4.5,-1.4
King County(7),53033,***,46.1,44.8,47.4,26,22,32,1014,falling,-2.7,-3.2,-2.2
Asotin County(6),53003,***,45.3,36,56.7,27,7,36,17,stable,-2.2,-5.3,1
Jefferson County(7),53031,***,45.2,38,54,28,13,36,33,falling,-1.9,-2.6,-1.2
Ferry County(6),53019,***,45,29.1,68.3,29,2,37,5,falling,-6.9,-11.9,-1.6
Walla Walla County(6),53071,***,43.8,37.4,51.2,30,15,36,34,stable,-1.6,-3.5,0.3
Stevens County(6),53065,***,43.4,36.6,51.4,31,16,36,31,falling,-2.6,-4.6,-0.6
Adams County(6),53001,***,43,29.7,59.9,32,4,37,7,falling,-3.1,-5.9,-0.3
San Juan County(7),53055,***,41.7,32,54.9,33,10,37,14,stable,-1.5,-3,0
Franklin County(6),53021,***,38.2,31.6,45.7,34,23,37,25,falling,-4.7,-6.6,-2.9
Kittitas County(6),53037,***,37.8,30.7,46.3,35,23,37,20,falling,-2.8,-4.4,-1.2
Whitman County(6),53075,***,30.9,23.4,40.1,36,30,37,12,falling,-3,-5.6,-0.3
Lincoln County(6),53043,***,30.6,20.7,45.4,37,25,37,6,stable,-4.5,-9.8,1.1
Garfield County(6),53023,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wahkiakum County(6),53069,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*
California(7),6000,***,40.3,40,40.6,N/A ,47,49,17009,falling,-3.2,-3.6,-2.9
US (SEER+NPCR)(1),0,***,57.3,57.1,57.4,N/A , N/A , N/A,222811,falling,-2.6,-3.4,-1.8
Lake County(7),6033,***,70.3,63.1,78.2,1,1,6,75,falling,-2.7,-3.6,-1.7
Yuba County(7),6115,***,68.1,59.7,77.3,2,1,9,50,falling,-3,-4.5,-1.6
Shasta County(7),6089,***,59.2,55.2,63.6,3,2,11,162,falling,-2.6,-3.4,-1.8
Tehama County(7),6103,***,59.1,52.2,66.7,4,1,17,55,falling,-4,-5.2,-2.8
Trinity County(7),6105,***,58.9,46.2,75.6,5,1,43,15,falling,-3.3,-5.9,-0.7
Amador County(7),6005,***,56.6,49,65.6,6,1,23,41,falling,-1.7,-2.8,-0.5
Butte County(7),6007,***,56.4,52.6,60.4,7,3,14,173,falling,-2.3,-2.8,-1.8
Colusa County(7),6011,***,56,43,71.7,8,1,51,13,stable,-1.3,-4.2,1.6
Glenn County(7),6021,***,55.7,44.7,68.5,9,1,44,19,stable,-1.4,-3.7,0.9
Del Norte County(7),6015,***,52.8,42.7,64.8,10,1,49,20,falling,-2.8,-4.9,-0.6
Sutter County(7),6101,***,52.7,46.8,59.2,11,3,28,59,falling,-2.2,-2.9,-1.4
Humboldt County(7),6023,***,52,47.2,57.2,12,4,23,93,falling,-2.7,-3.6,-1.7
Sacramento County(7),6067,***,50.7,49.1,52.3,13,8,19,816,falling,-2.2,-2.6,-1.8
Solano County(7),6095,***,49.2,46.5,52.1,14,8,24,250,falling,-2.3,-2.9,-1.6
Siskiyou County(7),6093,***,48.3,41.3,56.5,15,3,48,36,falling,-3.1,-4.5,-1.6
Stanislaus County(7),6099,***,48.2,45.6,50.9,16,9,26,260,falling,-2.2,-2.9,-1.5
Tuolumne County(7),6109,***,48,42,54.8,17,5,43,48,falling,-3.8,-5.1,-2.5
Plumas County(7),6063,***,47.8,37.6,60.7,18,2,55,17,falling,-4.3,-6.3,-2.2
San Joaquin County(7),6077,***,47.7,45.4,50,19,11,26,345,falling,-2.9,-3.5,-2.2
Calaveras County(7),6009,***,45.8,39.6,53.1,20,7,50,40,falling,-2.1,-3.2,-1
Inyo County(7),6027,***,45.8,35.6,58.6,21,3,55,14,falling,-3.7,-6.2,-1.2
Mendocino County(7),6045,***,45.6,40.4,51.5,22,9,46,60,falling,-3.2,-4.4,-1.9
Merced County(7),6047,***,45.3,41.5,49.4,23,11,41,106,falling,-4.8,-6.9,-2.7
Kern County(7),6029,***,44.4,42.3,46.6,24,16,35,335,falling,-3,-3.5,-2.5
Yolo County(7),6113,***,44.4,40.3,48.8,25,11,45,88,falling,-3,-4.4,-1.7
San Francisco County(7),6075,***,43.8,41.9,45.6,26,18,36,449,falling,-1.8,-2,-1.7
San Luis Obispo County(7),6079,***,43.3,40.4,46.3,27,17,43,173,falling,-2.4,-3.2,-1.6
